Date : 2021-12-05 14:58:44
Directory : /Users/icestorm/Desktop/bvu_dormitory
Total : 169 files,  13647 codes, 876 comments, 1754 blanks, all 16277 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,741 |        711 |      1,600 |     15,052 |
| JSON       |          5 |        469 |          0 |         58 |        527 |
| XML        |          9 |        155 |         57 |         19 |        231 |
| Groovy     |          3 |        104 |          5 |         28 |        137 |
| HTML       |          1 |         79 |         17 |          6 |        102 |
| YAML       |          3 |         64 |         78 |         28 |        170 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          3 |          9 |          8 |          3 |         20 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        169 |     13,647 |        876 |      1,754 |     16,277 |
| android                                                                                                                             |         13 |        207 |         68 |         48 |        323 |
| android/app                                                                                                                         |          9 |        165 |         67 |         37 |        269 |
| android/app/src                                                                                                                     |          7 |         94 |         55 |         17 |        166 |
| android/app/src/debug                                                                                                               |          1 |          6 |          4 |          2 |         12 |
| android/app/src/main                                                                                                                |          5 |         84 |         48 |         14 |        146 |
| android/app/src/main/res                                                                                                            |          4 |         27 |         32 |          6 |         65 |
| android/app/src/main/res/drawable                                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                     |          1 |         10 |          9 |          1 |         20 |
| android/app/src/main/res/values-night                                                                                               |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                             |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                      |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                              |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                 |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios/Runner/Assets.xcassets                                                                                                          |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                       |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                     |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                               |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                 |        141 |     13,011 |        694 |      1,647 |     15,352 |
| lib/app                                                                                                                             |         15 |        645 |         64 |        124 |        833 |
| lib/app/constants                                                                                                                   |          7 |        186 |         22 |         29 |        237 |
| lib/app/locales                                                                                                                     |          2 |        289 |          0 |         55 |        344 |
| lib/base                                                                                                                            |          4 |        314 |         19 |         43 |        376 |
| lib/helpers                                                                                                                         |          5 |         20 |          0 |          8 |         28 |
| lib/helpers/extensions                                                                                                              |          4 |         20 |          0 |          7 |         27 |
| lib/helpers/validators                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| lib/models                                                                                                                          |          8 |        537 |         31 |         96 |        664 |
| lib/repositories                                                                                                                    |          9 |        528 |         27 |        114 |        669 |
| lib/screens                                                                                                                         |         92 |     10,367 |        498 |      1,180 |     12,045 |
| lib/screens/admin                                                                                                                   |         57 |      6,951 |        365 |        787 |      8,103 |
| lib/screens/admin/home                                                                                                              |          2 |        135 |          5 |         22 |        162 |
| lib/screens/admin/manage                                                                                                            |         55 |      6,816 |        360 |        765 |      7,941 |
| lib/screens/admin/manage/buildings                                                                                                  |          5 |        406 |         69 |         47 |        522 |
| lib/screens/admin/manage/buildings/search                                                                                           |          2 |         32 |          0 |          8 |         40 |
| lib/screens/admin/manage/buildings/widgets                                                                                          |          1 |        153 |         31 |         13 |        197 |
| lib/screens/admin/manage/invoices                                                                                                   |          2 |        116 |          2 |         18 |        136 |
| lib/screens/admin/manage/items                                                                                                      |          6 |      1,052 |         34 |        106 |      1,192 |
| lib/screens/admin/manage/items/groups                                                                                               |          4 |        807 |         27 |         75 |        909 |
| lib/screens/admin/manage/items/groups/detail                                                                                        |          2 |        500 |         20 |         43 |        563 |
| lib/screens/admin/manage/repairs                                                                                                    |          2 |        125 |          2 |         22 |        149 |
| lib/screens/admin/manage/reports                                                                                                    |          2 |        121 |         13 |         13 |        147 |
| lib/screens/admin/manage/rooms                                                                                                      |         24 |      3,751 |        207 |        406 |      4,364 |
| lib/screens/admin/manage/rooms/detail                                                                                               |         21 |      3,493 |        185 |        372 |      4,050 |
| lib/screens/admin/manage/rooms/detail/images                                                                                        |          3 |         99 |         26 |         25 |        150 |
